2020-07-01 10:00:00,100000,0,100000
2020-07-02 10:00:00,0,5000,95000
2020-07-03 10:00:00,5200,0,100200
2020-07-04 10:00:00,3500,0,103700
2020-07-05 10:00:00,9600,0,113300
2020-07-06 10:00:00,0,6900,106400
2020-07-07 10:00:00,0,4600,101800
2020-07-08 10:00:00,25000,0,126800
2020-07-09 10:00:00,5000,0,131800
2020-07-10 10:00:00,975000,0,1106800
2020-07-08 15:20:20,0,200,1106600
2020-07-08 15:21:29,100,0,1106700
2020-07-08 15:21:35,7000,0,1113700
2020-07-08 15:21:37,0,7000,1106700
2020-07-08 15:45:12,2000,0,1108700
2020-07-08 15:45:29,0,6000,1102700
2020-07-08 16:02:16,5600,0,1108300
2020-07-08 16:02:30,0,600000,508300
2020-07-01 10:00:00,100000,0,608300
2020-07-02 10:00:00,0,5000,603300
2020-07-03 10:00:00,5200,0,608500
2020-07-04 10:00:00,3500,0,612000
2020-07-05 10:00:00,9600,0,621600
2020-07-06 10:00:00,0,6900,614700
2020-07-07 10:00:00,0,4600,610100
2020-07-08 10:00:00,25000,0,635100
2020-07-09 10:00:00,5000,0,640100
2020-07-10 10:00:00,975000,0,1615100
2020-07-08 15:20:20,0,200,1614900
2020-07-08 15:21:29,100,0,1615000
2020-07-08 15:21:35,7000,0,1622000
2020-07-08 15:21:37,0,7000,1615000
2020-07-08 15:45:12,2000,0,1617000
2020-07-08 15:45:29,0,6000,1611000
2020-07-08 16:02:16,5600,0,1616600
2020-07-08 16:02:30,0,600000,1016600
2020-07-08 16:05:14,5000,0,1021600
2020-07-08 16:08:02,5000,0,1026600
